,id,date_added,uri,track_href,name,artist,country,type,tempo,duration_ms,time_signature,key,mode,danceability,energy,loudness,liveness,valence,speechiness,acousticness,instrumentalness
137,248,2024-02-09 01:07:35.065675,7G6l2FtQyRhQgYgut2I6i8,https://api.spotify.com/v1/tracks/7G6l2FtQyRhQgYgut2I6i8,As Good As I Once Was,Toby Keith,USA,audio_features,119.075,227840,4,5,1,0.68,0.87,-4.461,0.109,0.646,0.0393,0.266,0.0
138,199,2024-02-29 00:00:00.939563,4dmruTsdHIOjfOIeaFitXK,https://api.spotify.com/v1/tracks/4dmruTsdHIOjfOIeaFitXK,幾億光年,Omoinotake,Japan,audio_features,95.607,276918,4,6,1,0.558,0.79,-4.372,0.224,0.543,0.0411,0.0138,0.0
139,401,2024-02-29 00:00:00.939563,0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,El Salvador,audio_features,131.842,172264,3,11,0,0.751,0.819,-4.372,0.236,0.697,0.0409,0.255,0.0
140,3,2024-02-29 00:00:00.939563,7sditHCsoFw3nHnjFv1BHV,https://api.spotify.com/v1/tracks/7sditHCsoFw3nHnjFv1BHV,ナハトムジーク,Mrs. GREEN APPLE,Japan,audio_features,146.354,262984,4,8,1,0.479,0.641,-5.31,0.0666,0.275,0.0415,0.0896,0.0
141,156,2024-02-29 00:00:00.939563,7o0TPSw494RG2Q4iWmd1v6,https://api.spotify.com/v1/tracks/7o0TPSw494RG2Q4iWmd1v6,唱,Ado,Japan,audio_features,132.054,189773,4,10,0,0.616,0.975,-0.425,0.143,0.742,0.208,0.172,1.62e-06
142,37,2024-02-29 00:00:00.939563,5m21ZR5lO6U0tp9KENxuCc,https://api.spotify.com/v1/tracks/5m21ZR5lO6U0tp9KENxuCc,I'm a mess,MY FIRST STORY,Japan,audio_features,130.059,251333,4,6,0,0.485,0.946,-3.721,0.289,0.621,0.11,0.0068,0.0
143,424,2024-02-29 00:00:00.939563,4GvEuYAfJlICR2SpMDaBxQ,https://api.spotify.com/v1/tracks/4GvEuYAfJlICR2SpMDaBxQ,ANDO,Jere Klein,El Salvador,audio_features,98.015,172768,4,8,0,0.869,0.568,-8.648,0.0778,0.35,0.0729,0.0023,0.00177
144,428,2024-02-29 00:00:00.939563,7yIIeKUxTpn36X6CFJhgEi,https://api.spotify.com/v1/tracks/7yIIeKUxTpn36X6CFJhgEi,Reggaeton Champagne,Bellakath,El Salvador,audio_features,101.032,155965,4,11,0,0.795,0.678,-7.905,0.072,0.788,0.0586,0.0398,0.35
145,449,2024-02-09 01:07:35.065675,7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,El Salvador,audio_features,87.51,244685,4,8,1,0.522,0.641,-6.287,0.162,0.202,0.0318,0.0545,0.0
146,446,2024-02-24 00:00:01.021481,2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/tracks/2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,Yng Lvcas,El Salvador,audio_features,169.922,234353,4,2,0,0.812,0.479,-5.678,0.0756,0.559,0.333,0.213,1.21e-06
